"ID","School","Category","CastUI","DispelType","Mechanic","Attributes","AttributesEx","AttributesEx2","AttributesEx3","AttributesEx4","ShapeshiftMask","Shapeshiftexclude","Targets","TargetCreatureType","RequiresSpellFocus","CasterAuraState","TargetAuraState","CastingTimeIndex","RecoveryTime","CategoryRecoveryTime","InterruptFlags","AuraInterruptFlags","ChannelInterruptFlags","ProcTypeMask","ProcChance","ProcCharges","MaxLevel","BaseLevel","SpellLevel","DurationIndex","PowerType","ManaCost","ManaCostPerLevel","ManaCostPerSecond","ManaCostPerSecondPerLevel","RangeIndex","Speed","ModalNextSpell","StackAmount","Totem_1","Totem_2","Reagent_1","Reagent_2","Reagent_3","Reagent_4","Reagent_5","Reagent_6","Reagent_7","Reagent_8","ReagentCount_1","ReagentCount_2","ReagentCount_3","ReagentCount_4","ReagentCount_5","ReagentCount_6","ReagentCount_7","ReagentCount_8","EquippedItemClass","EquippedItemSubclass","EquippedItemInvType","Effect_1","Effect_2","Effect_3","EffectDieSides_1","EffectDieSides_2","EffectDieSides_3","EffectBaseDice_1","EffectBaseDice_2","EffectBaseDice_3","EffectDicePerLevel_1","EffectDicePerLevel_2","EffectDicePerLevel_3","EffectRealPointsPerLevel_1","EffectRealPointsPerLevel_2","EffectRealPointsPerLevel_3","EffectBasePoints_1","EffectBasePoints_2","EffectBasePoints_3","EffectMechanic_1","EffectMechanic_2","EffectMechanic_3","ImplicitTargetA_1","ImplicitTargetA_2","ImplicitTargetA_3","ImplicitTargetB_1","ImplicitTargetB_2","ImplicitTargetB_3","EffectRadiusIndex_1","EffectRadiusIndex_2","EffectRadiusIndex_3","EffectAura_1","EffectAura_2","EffectAura_3","EffectAmplitude_1","EffectAmplitude_2","EffectAmplitude_3","EffectMultipleValue_1","EffectMultipleValue_2","EffectMultipleValue_3","EffectChainTarget_1","EffectChainTarget_2","EffectChainTarget_3","EffectItemType_1","EffectItemType_2","EffectItemType_3","EffectMiscValue_1","EffectMiscValue_2","EffectMiscValue_3","EffectTriggerSpell_1","EffectTriggerSpell_2","EffectTriggerSpell_3","EffectPointsPerCombo_1","EffectPointsPerCombo_2","EffectPointsPerCombo_3","SpellVisualID_1","SpellVisualID_2","SpellIconID","ActiveIconID","SpellPriority","Name_enUS","Name_enGB","Name_koKR","Name_frFR","Name_deDE","Name_enCN","Name_zhCN","Name_enTW","Name_Mask","NameSubtext_enUS","NameSubtext_enGB","NameSubtext_koKR","NameSubtext_frFR","NameSubtext_deDE","NameSubtext_enCN","NameSubtext_zhCN","NameSubtext_enTW","NameSubtext_Mask","Description_enUS","Description_enGB","Description_koKR","Description_frFR","Description_deDE","Description_enCN","Description_zhCN","Description_enTW","Description_Mask","AuraDescription_enUS","AuraDescription_enGB","AuraDescription_koKR","AuraDescription_frFR","AuraDescription_deDE","AuraDescription_enCN","AuraDescription_zhCN","AuraDescription_enTW","AuraDescription_Mask","ManaCostPct","StartRecoveryCategory","StartRecoveryTime","MaxTargetLevel","SpellClassSet","SpellClassMask_1","SpellClassMask_2","MaxTargets","DefenseType","PreventionType","StanceBarOrder","DamageMultiplier_1","DamageMultiplier_2","DamageMultiplier_3","MinFactionId","MinReputation","RequiredAuraVision"
"15","0","0","0","0","0","0","0","0","0","0","0","0","128","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","9","0","0","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Leech (TEST)","","","Absaugen (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"16","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","30000","0","13","2","0","0","101","0","1","0","1","8","0","56","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","98","0","50","Fear (NYI)","","","Furcht (NYI)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"17","1","56","0","1","19","329728","0","2621440","0","0","134217728","0","0","0","0","0","0","1","0","4000","8","0","0","0","101","0","11","6","6","9","0","45","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","0.8","0","0","43","0","0","0","0","0","57","0","0","0","0","0","0","0","0","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127","0","0","0","0","0","0","0","0","784","0","566","0","50","Power Word: Shield","","","Machtwort: Schild","","","","","4128894","Rank 1","","","Rang 1","","","","","4128894","Sešle na duši prátelského hráče štít , který pohltí $s1 poškození. Trvá $d.  Dokud máte Štít, vaše kouzla nebudou přerušovány útoky nepřítele. Pokud na hráče sešlete Štít, nemůžete na nej poslat další po dobu $6788d.","","","Nutzt die Seelenkraft des Gruppenmitglieds zum Abschirmen und absorbiert dabei $s1 Punkt(e) Schaden. Hält $d lang an. Solange der Schild hält, wird das Zauberwirken durch erlittenen Schaden nicht unterbrochen. Nachdem das Ziel einmal abgeschirmt wurde, kann es $6788d lang nicht wieder abgeschirmt werden.","","","","","4128894","Pohltí poškození.","","","Absorbiert Schaden.","","","","","4128894","0","133","1500","0","6","1","0","0","1","1","-1","1","1","1","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","10","0","0","1","0","0","1","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","1","0","50","Heal Self (TEST)","","","Selbstheilen (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"19","0","0","0","0","0","208","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","384","0","6","0","0","1","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","52","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","0","50","SWORDSPECIAL (DND)","","","SCHWERTSPEZIAL (DND)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","0","0","-1","1","1","1","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","1","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","1000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Super Food (TEST)","","","Super-Essen (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","10","0","0","6","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Major Heal Self (TEST)","","","Großes Selbstheilen (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","28","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","12","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","15","0","50","Stun","","","Betäuben","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","0","0","-1","1","1","1","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","11","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Bind Self (TEST)","","","Selbst binden (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"27","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","6","0","0","0","0","0","0","101","0","1","0","1","3","0","10","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","12","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","9","0","1","0","50","Goldshire Portal","","","Goldhain-Portal","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","13","0","0","0","101","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263","0","1","0","50","Teleport Goldshire","","","Goldhain-Teleporter","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","13","0","0","0","101","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263","0","1","0","50","Teleport Westfall","","","Westfall-Teleporter","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","13","0","0","0","101","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263","0","1","0","50","Teleport Duskwood","","","Dämmerwald-Teleporter","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","13","0","0","0","101","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263","0","1","0","50","Teleport Elwynn","","","Elwynn-Teleporter","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"43","0","0","0","0","0","262160","0","0","0","0","0","0","0","0","0","0","0","1","600000","0","0","0","0","0","101","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","47","0","86","0","50","Berserk","","","Berserker","","","","","8323198","Racial","","","Volk","","","","","8323198","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","0","0","-1","1","1","1","0","0","0"
"45","0","32","0","0","12","262160","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","45","45","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","98","0","0","37","0","0","1","0","0","0","0","0","0","0","0","56","0","0","0","0","0","22","0","0","15","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","2355","0","50","0","50","War Stomp","","","Kriegsdonner","","","","","8323198","","","","","","","","","8323196","Odrazí okolní nepřátele.","","","Stößt in der Nähe befindliche Feinde zurück.","","","","","4128894","","","","","","","","","4128876","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"47","0","44","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","300000","0","0","0","0","101","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","6","0","0","1","0","0","1","0","0","0","0","0","0","0","0","99","0","0","0","0","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","0","50","Sprint (TEST)","","","Sprinten (TEST)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","0","0","-1","1","1","1","0","0","0"
"49","4","0","0","0","0","0","0","0","0","0","0","0","256","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","10","0","0","11","0","0","1","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","79","0","50","Healing Touch (TEST)","","","Heilende Berührung","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
"50","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","1","0","1","0","0","30","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","50","Zone Recall (OLD)","","","Zone Recall (OLD)","","","","","8323198","","","","","","","","","8323196","","","","","","","","","8323196","","","","","","","","","4128892","0","0","0","0","0","0","0","0","1","1","-1","1","1","1","0","0","0"
