"ID","Text_enUS","Text_enGB","Text_koKR","Text_frFR","Text_deDE","Text_enCN","Text_zhCN","Text_enTW","Text_Mask"
"406","|cffffd100Tip:|r Je lepší se vydat za výpravou a zemřít, než se nikdy nevydat za dobrodružstvím.","","","","","","","","4128894"
"239","|cffffd100Tip:|r Existuje mnoho různých nastavení loupení, když jste ve skupině. Vedoucí skupiny může kliknout pravým tlačítkem na svůj portrét ke změně nastavení.","","","","","","","","4128894"
"240","|cffffd100Tip:|r Můžete si vybrat nezobrazovat vaši helmu nebo plášť pomocí volby z menu nastavení rozhraní.","","","","","","","","4128894"
"241","|cffffd100Tip:|r Můžeš použít označení členů skupiny pomocí funkčních kláves. F1 označí tebe; F2 označí druhého člena skupiny.","","","","","","","","4128894"
"242","|cffffd100Tip:|r Být zdvořilý zatímco jste ve skupině s ostatními vám zajistí opětovné pozvání.","","","","","","","","4128894"
"341","|cffffd100Tip:|r Pamatujte brát všechny věci s mírou (dokonce i World of Warcraft!)","","","","","","","","4128894"
"243","|cffffd100Tip:|r Když jste ve frontě na bitvu, nemusíte zůstat u Bitevního pole. Místo ve frontě neztratíte.","","","","","","","","4128894"
"244","|cffffd100Tip:|r Příšera se stříbrným drakem okolo jejího portrétu je vzácná příšera s lepším než průměrným pokladem.","","","","","","","","4128894"
"245","|cffffd100Tip:|r Pokud přejedete myší přes tabuli chatu, stane se viditelným a pro nastavení můžete kliknout pravým tlačítkem na záložku tabule chatu.","","","","","","","","4128894"
"411","|cffffd100Tip:|r Sdílet účet s někým jiným může ohrozit jeho bezpečnost.","","","","","","","","4128894"
"246","|cffffd100Tip:|r Z menu nastavení rozhraní můžete nechat zobrazit trvání na vás zakouzlených prospěšných kouzel.","","","","","","","","4128894"
"247","|cffffd100Tip:|r Můžeš zamknout akční bary, aby jsi náhodně nepřemístil kouzla. Můžeš si to nastavit v nastavení rozhraní.","","","","","","","","4128894"
"256","|cffffd100Tip:|r Můžete přiřadit horkou klávesu k přepínání zamykání/odemykání vašich akčních panelů. Podívejte se do nastavení Přiřazení kláves.","","","","","","","","4128894"
"248","|cffffd100Tip:|r Můžete na sebe kouzlit aniž by jste přestali cílit na hráče tím že budete držet <Alt> při kouzlení.","","","","","","","","4128894"
"398","|cffffd100Tip:|r Ujistěte se, že všichni členové party jsou ve stejné fázi doprovázecí výpravy než ji začnete.","","","","","","","","4128894"
"405","|cffffd100Tip:|r Je mnohem menší pravděpodobnost, že narazíte na monstra, když se budete pohybovat po cestách.","","","","","","","","4128894"
"249","|cffffd100Tip:|r Zabíjení civilistů ti přidá nedůstojné zabití a postih bodů cti.","","","","","","","","4128894"
"250","|cffffd100Tip:|r Zabíjením strážných nezískate žádné body cti.","","","","","","","","4128894"
"254","|cffffd100Tip:|r Můžete skrýt rozhraní klavesovou zkratkou <Alt>+Z a obrázek ze hry vytvoříte po stisknutí klávesy <Print Screen>.","","","","","","","","4128894"
"251","|cffffd100Tip:|r Napsáním /macro se přenese Vaše rozhraní do pozice vytváření makra.","","","","","","","","4128894"
"252","|cffffd100Tip:|r Nepřátelstí hráči, kteří mají šedá jména mají mnohem menší úroveň než vy a když je zabijete nedají vám žádné body cti.","","","","","","","","4128894"
"253","|cffffd100Tip:|r Když jste v raidu můžete vytáhnout skupinu nebo typ povolání z okna raidu na hrací plochu aby jste mohli vždy sledovat jejich zdraví a manu.","","","","","","","","4128894"
"261","|cffffd100Tip:|r  Modrá značka nad postavou, která nabízí nějaký úkol nebo výpravu, znamená že daný úkol nebo výpravu lze opakovat.","","","","","","","","4128894"
"262","|cffffd100Tip:|r Použitím klávesy ""F""  zacílíte na stejný cíl jako váš spoluhráč.","","","","","","","","4128894"
"281","|cffffd100Tip:|r Držením <Shift> a kliknutím na zboží, které je prodáváno obchodníkem vám dovolí si vybrat kolik kusů tohoto zboží chcete koupit.","","","","","","","","4128894"
"402","|cffffd100Tip:|r Hraní na Bitevních polích o prázdninových víkendech zvyšuje získané body cti.","","","","","","","","4128894"
"400","|cffffd100Tip:|r Pokud máte problémy v oblasti rybolovu s rybařením, zkuste přiložit na svůj rybářský prut návnadu.","","","","","","","","4128894"
"380","|cffffd100Tip:|r Můžeš si prohlédnout předešlé zprávy pomocí držení klávesy <Alt> a šipky nahoru.","","","","","","","","4128894"
"381","|cffffd100Tip:|r Můžete provést Shift-klik na kupu věcí k jejich rozdělení na menší kupy.","","","","","","","","4128894"
"382","|cffffd100Tip:|r Stiskem obou tlačítek myši současně se bude váše postava samovolně pohybovat.","","","","","","","","4128894"
"383","|cffffd100Tip:|r Když odpovídáte na zprávu od hráče (výchozí 'R'), klávesa <TAB> vám prolistuje hráče, kterým jste nedávno odpovídali.","","","","","","","","4128894"
"388","|cffffd100Tip:|r Kliknutím na jméno věci, která je v hranaté závorce zveřejněna v chatu, vám dovolí se dozvědět více o této věci.","","","","","","","","4128894"
"390","|cffffd100Tip:|r Považuje se za zdvořilé si s někým nejdříve promluvit předtím než ho pozvete do party nebo s ním začnete obchodovat.","","","","","","","","4128894"
"391","|cffffd100Tip:|r Mačkáním písmena 'v' přepínáte zobrazení ZDRAVÍ v podobě BARU nad NPC. které jsou blízko vás.","","","","","","","","4128894"
"392","|cffffd100Tip:|r Vaše předměty netrpí poškozením jejich životnosti, když vás zabije nepřátelský hráč.","","","","","","","","4128894"
"393","|cffffd100Tip:|r Držením <Shift> a kliknutím na výpravu v deníku pro zobrazení na obrazovce.","","","","","","","","4128894"
"397","|cffffd100Tip:|r Všechny aukční domy, které se nacházejí ve vašich hlavních městech, jsou navzájem propojeny.","","","","","","","","4128894"
"394","|cffffd100Tip:|r Blízcí zadávači výprav očekávající váš návrat jsou zobrazování jako otazníky v minimapě.","","","","","","","","4128894"
"399","|cffffd100Tip:|r Dokončením úkolů na nejvyšší úrovni dostanete za odměnu peníze místo zkušeností.","","","","","","","","4128894"
"403","|cffffd100Tip:|r <Shift>-B otevře všechny Vaše batohy najednou.","","","","","","","","4128894"
"404","|cffffd100Tip:|r Když jednáte s ostatními hráči, nikdy není dostatek vlídnosti! ","","","","","","","","4128894"
"407","|cffffd100Tip:|r Přiveďte své přátelé do Azerothu, ale nezapomeňte s nimi také opustit Azeroth.","","","","","","","","4128894"
"409","|cffffd100Tip:|r Jestliže si budete udržovat práznou poštovní schránku, tak vám vždy dá ikona dopisu najevo, že jste obdrželi novou zprávu, která čeká na vyzvednutí!","","","","","","","","4128894"
"410","|cffffd100Tip:|r Nikdy nedávejte jinému hráči informace o vašem účtu.","","","","","","","","4128894"
"412","|cffffd100Tip:|r Tyto tipy můžete vypnout v menu Rozhraní.","","","","","","","","4128894"
